indiv_id,F_income90,F_attn_sm_college,income00,attn_sm_college,age,male,female,white,black,other,married,num_siblings,birth_weight
5031,7011,0,49612,1,36,1,0,1,0,0,0,1,88
10032,27673,0,23727,1,31,0,1,0,1,0,0,2,105
18041,6457,0,36080,0,24,1,0,1,0,0,0,1,115
22031,40316,0,55667,1,29,0,1,0,1,0,0,2,78
22030,119655,0,17600,1,30,0,1,0,1,0,0,1,117
23032,14759,1,26000,0,16,1,0,1,0,0,0,2,144
40183,39623,0,68000,0,23,1,0,1,0,0,0,2,998
50035,122830,1,28000,1,24,1,0,1,0,0,0,1,127
51033,36897,0,15463,0,18,1,0,1,0,0,0,2,137
60039,41822,1,11030,0,18,0,1,1,0,0,0,3,115
60040,33208,0,2077,0,18,1,0,0,0,1,0,1,94
61033,71321,1,51769,1,29,1,0,1,0,0,1,2,129
68031,36119,1,10000,1,19,1,0,1,0,0,0,3,124
90030,101468,0,50000,1,27,0,1,1,0,0,0,0,114
96032,129141,1,34019,1,28,0,1,1,0,0,0,2,130
100031,2952,1,22540,0,19,1,0,1,0,0,0,0,125
105041,14095,0,19440,0,22,0,1,0,1,0,0,1,108
106031,42432,0,14021,0,29,1,0,0,1,0,0,2,128
114033,69339,0,24267,0,34,1,0,1,0,0,0,1,88
117035,45624,1,1546,0,18,1,0,1,0,0,0,1,143
117032,18449,1,15142,0,24,0,1,1,0,0,0,2,114
122038,93113,0,12600,1,23,1,0,1,0,0,0,2,130
127034,83453,1,46000,1,36,1,0,1,0,0,0,1,88
151038,1283312,1,64711,1,24,1,0,1,0,0,0,3,134
156032,63396,0,10500,0,18,1,0,1,0,0,0,1,64
174033,57929,1,16825,1,34,0,1,1,0,0,0,2,88
174041,109337,1,16552,1,22,0,1,1,0,0,0,3,104
200182,29149,1,8000,0,17,0,1,0,0,1,0,1,998
203034,123564,1,19000,1,21,0,1,1,0,0,0,3,138
214031,145745,1,2474,1,19,1,0,1,0,0,0,1,143
221034,81174,0,16494,1,22,1,0,1,0,0,0,1,101
236036,51380,1,1440,0,16,1,0,1,0,0,0,4,140
250035,54481,0,3000,0,16,0,1,1,0,0,0,1,118
257039,27673,0,11699,1,25,1,0,1,0,0,0,2,132
266035,30994,0,2373,0,23,1,0,1,0,0,0,1,142
301043,27736,1,8247,0,18,1,0,1,0,0,0,2,157
312033,4752,1,11699,0,20,0,1,1,0,0,1,2,136
323034,70105,1,15463,1,23,1,0,1,0,0,0,1,102
343033,27673,1,4853,1,23,1,0,1,0,0,1,1,120
356036,27236,0,1800,0,16,0,1,1,0,0,0,3,125
356033,73795,1,18000,1,21,1,0,1,0,0,0,1,164
377031,36119,1,50000,1,23,1,0,0,0,1,0,1,128
