treat,control,nexp1,nexp2,age,education,Black,Hispanic,married,nodegree,earnings_1975,earnings_1978
0,1,0,0,23,10,1,0,0,1,0,0
0,1,0,0,26,12,0,0,0,0,0,12383.68
0,1,0,0,22,9,1,0,0,1,0,0
0,1,0,0,34,9,1,0,0,1,4368.413,14051.16
0,1,0,0,18,9,1,0,0,1,0,10740.08
0,1,0,0,45,11,1,0,0,1,0,11796.47
0,1,0,0,18,9,1,0,0,1,0,9227.052
0,1,0,0,27,12,1,0,0,0,2483.851,3552.268
0,1,0,0,24,8,0,0,0,1,0,10569.27
0,1,0,0,34,11,1,0,1,1,0,6040.335
0,1,0,0,20,13,1,0,0,0,8965.243,9199.563
0,1,0,0,24,4,0,1,0,1,0,3880.833
0,1,0,0,28,12,0,0,0,0,803.343,16477.02
0,1,0,0,21,10,1,0,0,1,922.5729,0
0,1,0,0,28,12,1,0,1,0,29009.11,10067.43
0,1,0,0,20,12,1,0,0,0,6004.728,4779.72
0,1,0,0,23,8,1,0,0,1,3403.056,0
0,1,0,0,21,11,1,0,1,1,7244.561,8976.826
0,1,0,0,36,10,1,0,0,1,0,0
0,1,0,0,18,12,0,0,0,0,735.2051,2502.526
0,1,0,0,21,14,1,0,0,0,0,5775.062
0,1,0,0,30,13,1,0,0,0,5569.761,0
0,1,0,0,26,11,0,1,0,1,1491.016,0
0,1,0,0,28,9,1,0,0,1,0,0
0,1,0,0,31,4,0,0,0,1,10711.08,0
0,1,0,0,18,12,1,0,0,0,642.6645,14444.71
0,1,0,0,27,7,1,0,1,1,0,0
0,1,0,0,19,11,0,0,0,1,0,0
0,1,0,0,20,8,1,0,0,1,0,0
0,1,0,0,28,8,1,0,0,1,10610.08,4623.188
0,1,0,0,34,12,1,0,0,0,0,2113.722
0,1,0,0,24,10,1,0,0,1,0,7618.639
0,1,0,0,24,9,1,0,0,1,0,16461.57
0,1,0,0,22,8,0,1,0,1,0,9920.945
0,1,0,0,25,11,1,0,0,1,0,4196.375
0,1,0,0,20,11,0,0,0,1,1177.118,8743.071
0,1,0,0,21,9,1,0,0,1,0,3343.224
0,1,0,0,19,12,1,0,0,0,2814.195,1720.907
0,1,0,0,39,9,1,0,0,1,0,0
0,1,0,0,19,9,1,0,1,1,0,16658.25
0,1,0,0,24,10,1,0,0,1,1307.908,0
0,1,0,0,44,9,1,0,0,1,0,9722.003
0,1,0,0,23,11,1,0,0,1,1896.023,5573.547
0,1,0,0,22,12,1,0,0,0,532.2536,1333.445
0,1,0,0,27,8,1,0,0,1,0,3783.66
0,1,0,0,27,11,1,0,1,1,1122.621,215.8348
0,1,0,0,18,9,1,0,0,1,1605.448,0
0,1,0,0,25,8,1,0,0,1,0,3515.929
0,1,0,0,31,10,1,0,0,1,0,17014.59
0,1,0,0,28,10,1,0,0,1,6567.329,5435.787
0,1,0,0,26,10,1,0,1,1,558.7734,0
0,1,0,0,30,8,1,0,0,1,1706.657,0
0,1,0,0,28,11,0,1,1,1,0,6771.622
0,1,0,0,34,10,1,0,1,1,0,0
0,1,0,0,21,7,0,1,0,1,0,0
0,1,0,0,33,12,1,0,0,0,0,5970.257
0,1,0,0,19,9,1,0,0,1,1778.089,7171
0,1,0,0,20,11,1,0,0,1,7967.209,0
0,1,0,0,18,10,0,1,0,1,0,1859.167
0,1,0,0,27,12,1,0,1,0,752.3901,0
0,1,0,0,26,12,1,0,1,0,0,6191.943
0,1,0,0,24,9,1,0,0,1,9662.67,0
0,1,0,0,31,12,1,0,0,0,0,7284.394
0,1,0,0,22,12,1,0,0,0,2158.05,0
0,1,0,0,28,14,1,0,0,0,6539.537,3123.116
0,1,0,0,35,10,1,0,0,1,0,445.8309
0,1,0,0,20,12,1,0,0,0,0,0
0,1,0,0,30,9,0,0,0,1,3141.917,1320.923
0,1,0,0,25,11,1,0,0,1,0,0
0,1,0,0,25,10,1,0,0,1,0,7367.04
0,1,0,0,35,11,1,0,0,1,0,0
0,1,0,0,22,8,1,0,0,1,6150.52,0
0,1,0,0,21,12,1,0,0,0,449.0479,0
0,1,0,0,20,10,1,0,0,1,0,2015.503
0,1,0,0,21,8,1,0,0,1,2237.208,1764.108
0,1,0,0,25,9,0,1,0,1,0,15791.13
0,1,0,0,24,10,0,1,0,1,3000.838,5350.038
0,1,0,0,33,11,1,0,0,1,2899.82,18859.89
0,1,0,0,21,9,1,0,0,1,12357.22,0
0,1,0,0,27,11,1,0,1,1,4491.884,0
0,1,0,0,27,10,1,0,0,1,0,1135.47
0,1,0,0,20,11,0,1,0,1,0,6378.72
0,1,0,0,25,13,1,0,0,0,10240.36,10020.72
0,1,0,0,18,11,1,0,0,1,645.2723,5497.591
0,1,0,0,26,11,1,0,0,1,0,7176.187
0,1,0,0,38,8,1,0,0,1,0,0
0,1,0,0,21,11,1,0,1,1,7652.12,8396.654
0,1,0,0,34,11,1,0,0,1,8912.484,5611.866
0,1,0,0,21,10,1,0,0,1,1162.362,39483.53
0,1,0,0,31,13,1,0,0,0,10393.61,7404.762
0,1,0,0,34,10,1,0,0,1,0,7952.54
0,1,0,0,25,11,1,0,0,1,3649.769,0
0,1,0,0,24,9,1,0,0,1,1275.356,8644.427
0,1,0,0,19,12,1,0,0,0,0,0
0,1,0,0,32,8,1,0,0,1,0,7152.132
0,1,0,0,20,9,0,1,0,1,0,8329.823
0,1,0,0,23,10,1,0,0,1,0,0
0,1,0,0,38,10,1,0,0,1,0,12429.91
0,1,0,0,24,11,1,0,0,1,0,0
0,1,0,0,19,10,0,1,0,1,1197.462,11223.72
0,1,0,0,23,11,1,0,0,1,0,5088.76
0,1,0,0,20,7,0,1,0,1,0,4374.04
0,1,0,0,25,10,1,0,1,1,9319.444,0
0,1,0,0,21,11,1,0,0,1,0,1553.291
0,1,0,0,25,10,1,0,0,1,0,0
0,1,0,0,22,11,1,0,1,1,0,1698.304
0,1,0,0,29,9,0,1,0,1,16341.16,16900.3
0,1,0,0,21,11,1,0,0,1,1862.889,11630.66
0,1,0,0,21,7,1,0,0,1,0,11011.57
0,1,0,0,23,11,1,0,0,1,0,0
0,1,0,0,20,12,1,0,0,0,1371.473,20893.11
0,1,0,0,21,11,0,1,0,1,8920.471,20857.84
0,1,0,0,26,12,1,0,0,0,7322.037,4677.049
0,1,0,0,24,12,0,0,0,0,0,11294.63
0,1,0,0,43,10,1,0,0,1,4128.443,7565.273
0,1,0,0,31,11,1,0,0,1,1726.445,0
0,1,0,0,22,11,1,0,0,1,2707.372,100.6998
0,1,0,0,29,11,1,0,0,1,0,0
0,1,0,0,24,11,1,0,0,1,0,14626.39
0,1,0,0,22,9,1,0,0,1,0,12898.38
0,1,0,0,19,11,1,0,0,1,8870.879,7396.292
0,1,0,0,28,11,1,0,0,1,0,5767.133
0,1,0,0,18,10,0,1,0,1,0,6527.919
0,1,0,0,18,9,1,0,0,1,2138.094,5767.704
0,1,0,0,26,10,1,0,0,1,0,3931.238
0,1,0,0,25,10,1,0,0,1,0,20942.24
0,1,0,0,26,12,1,0,0,0,8479.593,10820.55
0,1,0,0,23,11,1,0,0,1,29897.19,23483.45
0,1,0,0,20,8,0,1,0,1,1124.801,11731.2
0,1,0,0,24,10,1,0,0,1,0,0
0,1,0,0,27,13,1,0,0,0,8797.348,1653.481
0,1,0,0,26,5,1,0,0,1,0,0
0,1,0,0,37,10,1,0,0,1,8606.743,0
0,1,0,0,36,10,1,0,0,1,0,14690.35
0,1,0,0,22,11,1,0,0,1,0,0
0,1,0,0,22,9,1,0,0,1,506.4076,604.1987
0,1,0,0,25,12,1,0,0,0,0,3418.097
0,1,0,0,22,10,1,0,0,1,1765.676,0
0,1,0,0,27,11,1,0,0,1,0,11197.34
0,1,0,0,29,8,1,0,0,1,0,0
0,1,0,0,18,9,1,0,0,1,2006.629,6546.01
0,1,0,0,24,12,1,0,0,0,0,0
0,1,0,0,27,9,0,1,0,1,1596.762,6723.414
0,1,0,0,19,9,1,0,0,1,902.4565,1914.414
0,1,0,0,22,10,1,0,0,1,0,0
0,1,0,0,29,12,1,0,0,0,1359.347,132.76
0,1,0,0,30,11,1,0,1,1,9311.938,3982.801
0,1,0,0,22,7,1,0,0,1,13503.77,11607.09
0,1,0,0,24,7,1,0,0,1,0,1455.69
0,1,0,0,29,14,1,0,0,0,3357.185,7226.049
0,1,0,0,29,12,1,0,0,0,0,1890.937
0,1,0,0,22,11,1,0,0,1,1321.66,2639.29
